"","X","zipcode","name","lat","long"
"1",1,32601,"Gainesville",29.642252,-82.328911
"2",2,32602,"Gainesville",29.664828,-82.324443
"3",3,32603,"Gainesville",29.657749,-82.347902
"4",4,32604,"Gainesville",29.65,-82.34
"5",5,32605,"Gainesville",29.679313,-82.372311
"6",6,32606,"Gainesville",29.678829,-82.464445
"7",7,32607,"Gainesville",29.647247,-82.415683
"8",8,32608,"Gainesville",29.615673,-82.365917
"9",9,32609,"Gainesville",29.793559,-82.25833
"10",10,32610,"Gainesville",29.63923,-82.34331
"11",11,32611,"Gainesville",29.613024,-82.371937
"12",12,32612,"Gainesville",29.651919,-82.325019
"13",13,32614,"Gainesville",29.613024,-82.371937
"14",14,32615,"Alachua",29.830345,-82.496933
"15",15,32616,"Alachua",29.8,-82.49
"16",16,32618,"Archer",29.556345,-82.540228
"17",17,32627,"Gainesville",29.65,-82.33
"18",18,32631,"Melrose",29.736458,-82.119676
"19",19,32633,"Evinston",29.485279,-82.22578
"20",20,32635,"Gainesville",29.71,-82.4
"21",21,32640,"Hawthorne",29.599069,-82.08429
"22",22,32641,"Gainesville",29.651634,-82.324826
"23",23,32643,"High Springs",29.79402,-82.669947
"24",24,32653,"Gainesville",29.742956,-82.377733
"25",25,32654,"Island Grove",29.458898,-82.109357
"26",26,32655,"High Springs",29.83,-82.6
"27",27,32658,"La Crosse",29.845893,-82.404165
"28",28,32662,"Lochloosa",29.505135,-82.100114
"29",29,32667,"Micanopy",29.497874,-82.323484
"30",30,32669,"Newberry",29.653398,-82.626735
"31",31,32694,"Waldo",29.789688,-82.167325
